"group","trait","analysis","configuration_label","folds_used","r2"
"All8","Wood_density","Single trait","BM_FTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.545002793623823
"All8","Wood_density","Multi-trait","BM_FTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.527944297249017
"All8","Wood_density","Single trait","BM_TTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.579276629185732
"All8","Wood_density","Multi-trait","BM_TTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.437436840390299
"All8","Wood_density","Single trait","lambda_FTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.554926880914928
"All8","Wood_density","Multi-trait","lambda_FTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.504327441626634
"All8","Wood_density","Single trait","lambda_TTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.578457018561899
"All8","Wood_density","Multi-trait","lambda_TTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.51604749399448
"All8","Specific_leaf_area","Single trait","BM_FTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.521136852981074
"All8","Specific_leaf_area","Multi-trait","BM_FTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.510028883532438
"All8","Specific_leaf_area","Single trait","BM_TTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.546844568383952
"All8","Specific_leaf_area","Multi-trait","BM_TTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.390608971561977
"All8","Specific_leaf_area","Single trait","lambda_FTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.526049657335024
"All8","Specific_leaf_area","Multi-trait","lambda_FTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.516202903850504
"All8","Specific_leaf_area","Single trait","lambda_TTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.558787298193452
